SOLUTION_ID,CASE_ID,ORIGIN,SOLUTION_NO_KP,SOLUTION_FIRST_KP_NAME,SOLUTION_SECOND_KP_NAME,NODE1_PATH1_CATEGORY,NODE1_PATH1_TYPE,NODE1_PATH1_REFERENCE,NODE2_PATH1_CATEGORY,NODE2_PATH1_TYPE,NODE2_PATH1_REFERENCE,NODE1_PATH2_CATEGORY,NODE1_PATH2_TYPE,NODE1_PATH2_REFERENCE,NODE2_PATH2_CATEGORY,NODE2_PATH2_TYPE,NODE2_PATH2_REFERENCE,EDGE1_PATH1_PREDICATE,EDGE1_PATH1_ENDS,EDGE1_PATH1_REFERENCE,EDGE1_PATH2_PREDICATE,EDGE1_PATH2_ENDS,EDGE1_PATH2_REFERENCE
25,Q000112,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
26,Q000113,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
27,Q000114,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
28,Q000115,DERIVED,2,MolePro,MolePro,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:interacts_with,n00:n01,e00,biolink:correlated_with,n00:n01,e00
29,Q000116,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
30,Q000116,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
31,Q000117,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
32,Q000118,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
33,Q000119,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
34,Q000119,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
35,Q000120,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
36,Q000121,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
37,Q000122,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
38,Q000123,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:treats,n00:n01,e00,biolink:correlated_with,n00:n01,e00
39,Q000123,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:treats,n00:n01,e00,biolink:correlated_with,n00:n01,e00
40,Q000124,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
41,Q000124,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
42,Q000125,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:interacts_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
43,Q000126,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Drug,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
44,Q000127,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Gene,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:condition_associated_with_gene,n00:n01,e00
45,Q000128,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Pathway,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:genetic_association,n00:n01,e00
46,Q000129,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:has_phenotype,n00:n01,e00
47,Q000130,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PopulationOfIndividualOrganisms,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
48,Q000131,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Procedure,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
49,Q000132,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:affects,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
50,Q000133,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Drug,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
51,Q000134,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:affects,n00:n01,e00,biolink:part_of,n00:n01,e00
52,Q000135,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Pathway,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:genetic_association,n00:n01,e00
53,Q000136,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:affects,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
54,Q000137,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PopulationOfIndividualOrganisms,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
55,Q000138,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Procedure,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
56,Q000139,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Drug,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
57,Q000140,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Gene,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:condition_associated_with_gene,n00:n01,e00
58,Q000141,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Pathway,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:genetic_association,n00:n01,e00
59,Q000142,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:has_phenotype,n00:n01,e00
60,Q000143,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PopulationOfIndividualOrganisms,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
61,Q000144,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Procedure,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
62,Q000145,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Drug,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
63,Q000146,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Gene,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:condition_associated_with_gene,n00:n01,e00
64,Q000147,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Pathway,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:genetic_association,n00:n01,e00
65,Q000148,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:has_phenotype,n00:n01,e00
66,Q000149,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PopulationOfIndividualOrganisms,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
67,Q000150,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Procedure,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
68,Q000151,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
69,Q000152,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Drug,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
70,Q000153,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
71,Q000154,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Pathway,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:genetic_association,n00:n01,e00
72,Q000155,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
73,Q000156,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PopulationOfIndividualOrganisms,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
74,Q000157,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Procedure,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
75,Q000158,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Drug,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
76,Q000159,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Gene,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:condition_associated_with_gene,n00:n01,e00
77,Q000160,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Pathway,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:genetic_association,n00:n01,e00
78,Q000161,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PopulationOfIndividualOrganisms,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
79,Q000162,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Procedure,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
80,Q000163,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Drug,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
81,Q000164,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Gene,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:condition_associated_with_gene,n00:n01,e00
82,Q000165,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Pathway,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:genetic_association,n00:n01,e00
83,Q000166,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:has_phenotype,n00:n01,e00
84,Q000167,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:PopulationOfIndividualOrganisms,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
85,Q000168,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:Procedure,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
